compLength,compName,seqacc,std,max,min
3,heldout_compositions,0.1452205882352941,0.016990363571031307,0.17463235294117646,0.12316176470588235
4,heldout_compositions,0.03396401985111663,0.00658812771568128,0.04032258064516129,0.024193548387096774
5,heldout_compositions,0.009575569358178054,0.0030053832346793223,0.013457556935817806,0.006211180124223602
6,heldout_compositions,0.003458249496981891,0.0012155238447856618,0.006036217303822936,0.002515090543259557
7,heldout_compositions,0.0023125000000000003,0.0008838834764831844,0.004,0.0015
8,heldout_compositions,0.0012500000000000002,0.0010690449676496975,0.003,0.0
9,heldout_compositions,0.0005,0.0003779644730092273,0.001,0.0
10,heldout_compositions,0.000125,0.00023145502494313787,0.0005,0.0
