compLength,compName,seqacc,std,max,min
3,heldout_compositions,0.30652573529411764,0.038780728053873996,0.3768382352941176,0.2536764705882353
4,heldout_compositions,0.11995967741935484,0.014769470767752492,0.14950372208436724,0.1042183622828784
5,heldout_compositions,0.04561335403726708,0.0055777075730466625,0.05383022774327122,0.03571428571428571
6,heldout_compositions,0.01729124748490946,0.0029568554306579203,0.02012072434607646,0.012575452716297788
7,heldout_compositions,0.009187500000000001,0.00226680234187784,0.0115,0.0055
8,heldout_compositions,0.0028125000000000003,0.0016021748611541394,0.005,0.001
9,heldout_compositions,0.0015000000000000002,0.001,0.003,0.0005
10,heldout_compositions,0.0005,0.0003779644730092273,0.001,0.0
